City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,mitu,1.1983,-70.1733,299.37,92,6,1.16,CO,1701093898
339,khanskaya,44.677,39.9616,278.84,70,56,7.25,RU,1701094007
340,chirilagua,13.2203,-88.1386,298.72,68,7,1.87,SV,1701094008
341,atafu village,-8.5421,-172.5159,302.26,76,100,4.27,TK,1701093772
342,nan,18.8333,100.6667,293.28,84,25,0.81,TH,1701094008
343,bereznik,62.8551,42.7072,265.7,92,100,5.24,RU,1701094008
344,shalkar,47.8288,59.6258,279.28,74,0,5.26,KZ,1701094008
345,touros,-5.1989,-35.4608,302.97,63,32,6.23,BR,1701093801
346,mahibadhoo,3.7833,72.9667,301.47,73,76,1.29,MV,1701094008
347,ahmadpur,18.7,76.9333,297.08,63,23,3.45,IN,1701094008
348,saint-louis,16.3333,-15.0,307.97,9,0,3.65,SN,1701094008
349,narvik,68.4384,17.4272,269.82,79,1,3.97,NO,1701094009
350,petropavlovsk-kamchatsky,53.0452,158.6483,267.29,63,75,7.15,RU,1701093793
351,puerto maldonado,-12.6,-69.1833,302.37,74,100,2.57,PE,1701094009
352,shingu,33.7333,135.9833,288.08,89,83,1.87,JP,1701094009
353,sechura,-5.5569,-80.8222,295.75,69,32,5.06,PE,1701093847
354,tavda,58.0425,65.2726,274.09,95,100,4.02,RU,1701094009
355,mo i rana,66.3128,14.1428,262.77,84,8,0.89,NO,1701093841
356,montmagny,48.9734,2.3469,281.46,93,100,5.66,FR,1701094009
357,prineville,44.2999,-120.8345,271.2,63,0,2.74,US,1701094009
358,cromwell,41.5951,-72.6454,282.3,88,75,4.12,US,1701093720
359,kavalerovo,44.2661,135.0572,270.12,81,99,0.45,RU,1701094010
360,srivardhan,18.0333,73.0167,299.79,73,7,2.67,IN,1701094010
361,opuwo,-18.0607,13.84,306.33,24,100,6.91,NA,1701094010
362,buchanan,5.8808,-10.0467,302.01,71,81,2.35,LR,1701093936
